角色：崩潰工程師
資料夾：崩潰工程師_20260222

1. 【需求變更】雙手捂臉崩潰趴桌 - "改好了又要改？好喔，沒關係。", 適合回應臨時需求變更, 💬「又改了？我還以為這次會過...」
2. 【Bug追蹤】對著螢幕瞪大眼睛 - "這 Bug 昨天明明還在，今天消失了？", 適合開發遇到靈異 Bug, 💬「不可能啊，我昨天親眼看到的！」
3. 【深夜加班】趴在鍵盤上睡著 - "凌晨三點，程式碼跑一半，人也跑一半了。", 適合深夜加班崩潰時, 💬「我還好，只是眼睛自動關閉而已。」
4. 【環境崩潰】頭頂冒火抓頭髮 - "我的電腦跑不動，但死線跑得很快。", 適合環境出問題時, 💬「為什麼 npm install 要跑半小時？」
5. 【會議轟炸】戴耳機躲在螢幕後 - "今天第八個會議，根本沒時間寫 code。", 適合被會議塞滿的日子, 💬「可以不要開會嗎？我有正事要做。」
6. 【版本衝突】緊握拳頭咬牙切齒 - "merge conflict 多到我懷疑人生。", 適合 Git 衝突嚴重時, 💬「誰動了我的 main branch？！」
7. 【上線緊張】額頭冒汗盯著螢幕 - "Deploy 下去的瞬間，心臟停了三秒。", 適合上線前後的緊張時刻, 💬「拜託不要掛掉，拜託不要掛掉...」
8. 【文件缺失】翻遍桌子找不到東西 - "根本沒有文件，全靠猜。", 適合接手舊專案找不到文件, 💬「前人留下了什麼？一個謎。」
9. 【客戶溝通】微笑但眼神空洞 - "客戶說：就這樣很簡單啊，三天可以嗎？", 適合客戶提出不合理要求, 💬「好的，我評估一下。（內心：不可能）」
10. 【框架選擇】抱頭蹲在地上 - "又有新框架了，學不完，真的學不完。", 適合技術選型焦慮時, 💬「React？Vue？Next？全部？」
11. 【程式崩潰】望天長嘆雙手攤開 - "production 掛了，我的心也掛了。", 適合線上環境崩潰時, 💬「不是我改的，但是我的負責的。」
12. 【測試爆炸】頭髮豎起全身冒汗 - "改了一行，壞了一百個 test。", 適合改 code 牽一髮動全身時, 💬「我只是改個變數名稱...」
13. 【需求不明】歪頭一臉問號 - "需求說明書：TBD（待補充）。", 適合需求模糊的情況, 💬「所以你要的是...什麼？」
14. 【Code Review】抱著筆電苦笑 - "又被退回來了，這次備注：整個重寫。", 適合 code review 被退件時, 💬「好，我知道了。（忍住眼眶泛淚）」
15. 【資料庫當機】跪地仰天大叫 - "DB 掛了，cache 也掛了，我也快掛了。", 適合系統全面崩潰時, 💬「全部都壞掉了，從哪裡修起？」
16. 【無限 loading】呆望旋轉圈圈 - "這個 API 還在 loading，跑了四十分鐘。", 適合等待超時的無奈, 💬「還沒好？那我去洗個澡再回來。」
17. 【交接失敗】捧著一疊亂紙發呆 - "前同事留下的 code：魔法，完全看不懂的魔法。", 適合接手亂七八糟的舊系統, 💬「這段是什麼意思，問誰都不知道。」
18. 【假日警報】躺在床上手機亮起 - "假日凌晨兩點，on-call 告警響了。", 適合假日被叫起來處理問題, 💬「號碼我認識，但我不想接。」
19. 【Deadline 壓境】衝刺跑步姿勢 - "距離 deadline 還有兩小時，功能還沒寫完。", 適合趕死線最後衝刺時, 💬「不吃飯了，先上線再說！」
20. 【環境不一致】比較兩台螢幕抓頭 - "我這邊是好的，為什麼你那邊壞的？", 適合本機正常但別人環境有問題, 💬「Works on my machine 啊。」
21. 【需求追加】眼角抽搐強顏歡笑 - "上線前一天：可以再加一個功能嗎？", 適合上線前夕追加需求, 💬「可以是可以，但你要為後果負責。」
22. 【記憶體不足】抱頭縮成一團 - "電腦記憶體不夠，我的腦記憶體也不夠了。", 適合系統資源告急時, 💬「OOM，人類版。」
23. 【命名困難】對著鍵盤發呆 - "最難的事不是演算法，是幫變數取名字。", 適合命名困難症發作時, 💬「data2？tmpVar？aaa？都不對...」
24. 【被問進度】假裝在打字 - "老闆來了，假裝很忙地猛按鍵盤。", 適合被問進度時的慌亂, 💬「快了快了，馬上就好！（才剛開始）」
25. 【睡眠不足】眼皮沉重撐著臉 - "昨晚只睡三小時，今天要撐過八個小時會議。", 適合嚴重睡眠不足時, 💬「我清醒的，眼睛只是在休息。」
26. 【自動化失敗】機器人圖示旁邊大哭 - "自動化 script 跑錯了，手動改了三千筆資料。", 適合自動化翻車時, 💬「早知道就不寫腳本，直接手動。」
27. 【部署失敗】按下送出後立刻崩潰 - "deploy 失敗，rollback 也失敗了。", 適合上線翻車的慘況, 💬「我只能說，我盡力了。」
28. 【Sprint 完不成】看著看板欲哭無淚 - "Sprint 還有一半，但時間只剩三天。", 適合 scrum 進度落後時, 💬「這個 story point 是誰估的？我要找他談談。」
29. 【超出範疇】瞪眼看著龐大規格書 - "這不是我當初接的需求，這是一個新系統。", 適合 scope creep 爆炸時, 💬「Scope 已經超出地球範圍了。」
30. 【找不到原因】趴在桌上對著 log 發呆 - "看了三個小時的 log，還是不知道為什麼掛。", 適合找不到 root cause 時, 💬「Log 只說 ERROR，謝謝，沒有其他提示。」
31. 【技術債】扛著重物慢慢前行 - "這坨技術債，輪到我還了。", 適合面對前人留下的爛攤子, 💬「重構還是繞過去？都不好選。」
32. 【API 文件過時】翻白眼搖頭 - "文件說這個 API 可以用，但它 404 了。", 適合第三方 API 對不上文件時, 💬「文件上次更新是三年前，有人更新過嗎？」
33. 【咖啡用盡】捧著空杯望天 - "第五杯咖啡喝完了，但 Bug 還在。", 適合靠咖啡撐著的加班夜, 💬「不是咖啡的問題，是 Bug 太強。」
34. 【Code 被刪】面如死灰盯著螢幕 - "git 誤操作，三天的 code 消失了。", 適合 git 操作失誤的最慘情境, 💬「沒有 commit...沒有備份...再見。」
35. 【跨部門協作】苦笑搖頭 - "等了兩週，對方說需求改了。", 適合跨部門溝通鬼打牆時, 💬「這兩週的等待，算誰的？」
36. 【學習新技術】腦袋冒煙 - "公司決定全面轉 Rust，下週上線。", 適合被迫快速學新技術, 💬「Rust？Rust！？我 Java 都還沒學好！」
37. 【環境設定失敗】對著終端機崩潰 - "設定環境花了一整天，還是起不來。", 適合新人或新環境 setup 失敗, 💬「Docker 跑不起來，README 根本看不懂。」
38. 【同時多工】頭上長出好幾條手 - "同時修三個 bug、寫兩個功能、開一個會。", 適合被塞爆工作量時, 💬「我是工程師，不是章魚。」
39. 【被取代焦慮】看著 AI 螢幕發呆 - "ChatGPT 寫的比我快，我還有存在價值嗎？", 適合 AI 焦慮時代, 💬「至少 AI 不會 on-call。（還沒有）」
40. 【上線成功】虛脫癱在椅子上 - "上線成功，但我也快掛了。", 適合終於順利上線後的解脫感, 💬「下次不要再這樣了。（下次還是這樣）」
41. 【被誇獎】尷尬撓頭 - "老闆說：辛苦了！（薪水沒有動）", 適合付出與回報不成比例時, 💬「謝謝，我會繼續努力的。（繼續崩潰）」
42. 【下班瞬間】飛奔衝出辦公室 - "六點整，包包一拎，人間蒸發。", 適合準時下班的片刻快樂, 💬「Bug？明天再說，拜拜！」
